locus	cpg_label	gc_background	gc_peaks	gc_diff
chr3:98235247-98240248	Open Sea	0.352	0.433	1.23
chr4:42635891-42640892	Open Sea	0.358	0.467	1.3
chr7:90336656-90341657	Open Sea	0.353	0.487	1.38
chr11:128400162-128405163	Open Sea	0.387	0.467	1.21
chr1:109932387-109937388	Open Sea	0.372	0.54	1.45
chr8:30493577-30498578	Open Sea	0.365	0.44	1.21
chr2:155806532-155811533	Open Sea	0.364	0.433	1.19
chr3:23278726-23283727	Open Sea	0.364	0.38	1.04
chr3:79016275-79021276	Open Sea	0.4	0.447	1.12
chr9:38660923-38665924	Open Sea	0.387	0.433	1.12
chr18:9794915-9799916	Open Sea	0.394	0.507	1.29
chr10:118718929-118723930	Open Sea	0.367	0.393	1.07
chr3:176766902-176771903	Open Sea	0.383	0.5	1.3
chr12:83016970-83021971	Open Sea	0.412	0.467	1.13
chr13:103371967-103376968	Open Sea	0.424	0.38	0.897
chr12:53983120-53988121	Open Sea	0.387	0.467	1.2
chr13:80509670-80514671	Open Sea	0.388	0.527	1.36
chr2:163329826-163334827	Open Sea	0.391	0.52	1.33
chr2:177108765-177113766	Open Sea	0.389	0.52	1.34
chr18:58973779-58978780	Open Sea	0.377	0.56	1.49
chr13:67406927-67411928	Open Sea	0.371	0.54	1.46
chr4:106160271-106165272	Open Sea	0.398	0.527	1.32
chr11:82550770-82555771	Open Sea	0.388	0.467	1.2
chr3:179689607-179694608	Open Sea	0.361	0.573	1.59
chr7:18533363-18538364	Open Sea	0.363	0.467	1.28
chr8:81637381-81642382	Open Sea	0.371	0.547	1.48
chr9:72155677-72160678	Open Sea	0.355	0.66	1.86
chr6:109398908-109403909	Open Sea	0.376	0.447	1.19
chr3:106744628-106749629	Open Sea	0.375	0.413	1.1
chr5:87688356-87693357	Open Sea	0.38	0.393	1.04
chr7:92325538-92330539	Open Sea	0.414	0.493	1.19
chr10:62328524-62333525	Open Sea	0.393	0.373	0.949
chr20:12216088-12221089	Open Sea	0.366	0.48	1.31
chr10:64136867-64141868	Open Sea	0.394	0.607	1.54
chr1:243477360-243482361	Open Sea	0.388	0.58	1.5
chr4:87997070-88002071	Open Sea	0.39	0.48	1.23
chr13:80582151-80587152	Open Sea	0.393	0.44	1.12
chr3:123490064-123495065	Open Sea	0.384	0.547	1.42
chr1:171865750-171870751	Open Sea	0.389	0.56	1.44
chr2:70789817-70794818	Open Sea	0.374	0.593	1.59
chr11:105768301-105773302	Open Sea	0.34	0.4	1.18
chr4:154088741-154093742	Open Sea	0.392	0.44	1.12
chr12:20738697-20743698	Open Sea	0.403	0.44	1.09
chr13:25656995-25661996	Open Sea	0.378	0.487	1.29
chr2:153397432-153402433	Open Sea	0.4	0.513	1.28
chr11:62144748-62149749	Open Sea	0.413	0.533	1.29
chr9:108736172-108741173	Open Sea	0.428	0.493	1.15
chr2:170202517-170207518	Open Sea	0.419	0.453	1.08
chr11:83390282-83395283	Open Sea	0.378	0.46	1.22
chr14:33012380-33017381	Open Sea	0.397	0.493	1.24
chr15:38419369-38424370	Open Sea	0.397	0.507	1.28
chr6:126019421-126024422	Open Sea	0.391	0.44	1.13
chr16:10068199-10073200	Open Sea	0.419	0.487	1.16
chr5:96476037-96481038	Open Sea	0.408	0.48	1.18
chr11:125318945-125323946	Open Sea	0.436	0.58	1.33
chr2:11636374-11641375	Open Sea	0.419	0.593	1.41
chr2:105552477-105557478	Open Sea	0.421	0.6	1.43
chr2:32781895-32786896	Open Sea	0.373	0.447	1.2
chr8:30662868-30667869	Open Sea	0.423	0.36	0.851
chr12:125936099-125941100	Open Sea	0.412	0.453	1.1
chr7:29311735-29316736	Open Sea	0.422	0.467	1.1
chr2:1856245-1861246	Open Sea	0.406	0.52	1.28
chr7:81946791-81951792	Open Sea	0.397	0.487	1.22
chr4:109661945-109666946	Open Sea	0.429	0.54	1.26
chr16:29929810-29934811	Open Sea	0.429	0.467	1.09
chr18:642184-647185	Open Sea	0.4	0.427	1.07
chr2:215191393-215196394	Open Sea	0.401	0.46	1.15
chr6:163608346-163613347	Open Sea	0.469	0.593	1.27
chr4:15132086-15137087	Open Sea	0.446	0.5	1.12
chr6:12150205-12155206	Open Sea	0.386	0.373	0.967
chr1:89991658-89996659	Open Sea	0.418	0.38	0.91
chr6:96837306-96842307	Open Sea	0.364	0.54	1.48
chr4:187570531-187575532	Open Sea	0.383	0.54	1.41
chr5:66101227-66106228	Open Sea	0.414	0.467	1.13
chr13:36646451-36651452	Open Sea	0.387	0.48	1.24
chr9:690820-695821	Open Sea	0.441	0.433	0.982
chr1:10185865-10190866	Open Sea	0.42	0.42	0.999
chr2:122231866-122236867	Open Sea	0.438	0.473	1.08
chr12:99117326-99122327	Open Sea	0.389	0.48	1.23
chr4:88169972-88174973	Open Sea	0.405	0.493	1.22
chr13:30463987-30468988	Open Sea	0.435	0.58	1.33
chr1:60215968-60220969	Open Sea	0.394	0.513	1.3
chr7:124362852-124367853	Open Sea	0.373	0.38	1.02
chr5:138204904-138209905	Open Sea	0.388	0.453	1.17
chr5:92303338-92308339	Open Sea	0.369	0.44	1.19
chr1:197235876-197240877	Open Sea	0.353	0.473	1.34
chr2:105062797-105067798	Open Sea	0.399	0.413	1.04
chrX:139790583-139795584	Open Sea	0.4	0.5	1.25
chr4:15100699-15105700	Open Sea	0.416	0.513	1.23
chr4:174317904-174322905	Open Sea	0.384	0.553	1.44
chr2:145157438-145162439	Open Sea	0.39	0.527	1.35
chr4:74980385-74985386	Open Sea	0.404	0.493	1.22
chr13:52204750-52209751	Open Sea	0.409	0.56	1.37
chr6:166741842-166746843	Open Sea	0.435	0.62	1.42
chr8:127640778-127645779	Open Sea	0.396	0.473	1.19
chr14:72004186-72009187	Open Sea	0.413	0.513	1.24
chr14:77575101-77580102	Open Sea	0.414	0.527	1.27
chr13:101801063-101806064	Open Sea	0.402	0.447	1.11
chr5:130956040-130961041	Open Sea	0.433	0.44	1.02
chr12:29605789-29610790	Open Sea	0.375	0.473	1.26
chr18:8624756-8629757	Open Sea	0.388	0.487	1.25
chr13:103598072-103603073	Open Sea	0.376	0.5	1.33
chr4:99546677-99551678	Open Sea	0.398	0.393	0.989
chr20:20389035-20394036	Open Sea	0.409	0.573	1.4
chr9:713744-718745	Open Sea	0.394	0.4	1.02
chr11:123551379-123556380	Open Sea	0.406	0.433	1.07
chr11:105881187-105886188	Open Sea	0.37	0.447	1.21
chr21:27349980-27354981	Open Sea	0.378	0.487	1.29
chr2:145216528-145221529	Open Sea	0.389	0.513	1.32
chr2:145185017-145190018	Open Sea	0.371	0.487	1.31
chr9:79430964-79435965	Open Sea	0.385	0.547	1.42
chr1:145029870-145034871	Open Sea	0.396	0.393	0.994
chr5:82856458-82861459	Open Sea	0.364	0.413	1.14
chr11:83853279-83858280	Open Sea	0.372	0.407	1.09
chr7:117397651-117402652	Open Sea	0.389	0.433	1.11
chr1:83876696-83881697	Open Sea	0.384	0.453	1.18
chr5:152011853-152016854	Open Sea	0.369	0.493	1.34
chr1:87010343-87015344	Open Sea	0.4	0.373	0.933
chr4:55264669-55269670	Open Sea	0.405	0.453	1.12
chr2:166945166-166950167	Open Sea	0.4	0.433	1.08
chr4:79571104-79576105	Open Sea	0.393	0.44	1.12
chr7:121435374-121440375	Open Sea	0.413	0.433	1.05
chr13:107170660-107175661	Open Sea	0.413	0.393	0.953
chr4:108897646-108902647	Open Sea	0.385	0.42	1.09
chr6:157127107-157132108	Open Sea	0.423	0.46	1.09
chr3:17234449-17239450	Open Sea	0.405	0.5	1.24
chr7:154122345-154127346	Open Sea	0.445	0.44	0.988
chr12:27705480-27710481	Open Sea	0.421	0.527	1.25
chr2:80080227-80085228	Open Sea	0.426	0.527	1.24
chr15:37369629-37374630	Open Sea	0.364	0.453	1.24
chr21:19228811-19233812	Open Sea	0.386	0.5	1.29
chr12:67028296-67033297	Open Sea	0.363	0.587	1.62
chr6:123152044-123157045	Open Sea	0.379	0.5	1.32
chr2:197940963-197945964	Open Sea	0.408	0.413	1.01
chr6:80251597-80256598	Open Sea	0.394	0.467	1.19
chr12:12516750-12521751	Open Sea	0.431	0.42	0.974
chr11:20386806-20391807	Open Sea	0.42	0.413	0.984
chr7:117467382-117472383	Open Sea	0.405	0.393	0.971
chr13:80703042-80708043	Open Sea	0.397	0.54	1.36
chr12:76050304-76055305	Open Sea	0.415	0.453	1.09
chr18:53073054-53078055	Open Sea	0.382	0.44	1.15
chr15:67838934-67843935	Open Sea	0.419	0.587	1.4
chr18:40192294-40197295	Open Sea	0.375	0.467	1.24
chr4:87276368-87281369	Open Sea	0.403	0.5	1.24
chr10:64137460-64142461	Open Sea	0.404	0.4	0.991
chr11:82733894-82738895	Open Sea	0.404	0.42	1.04
chr13:39663389-39668390	Open Sea	0.423	0.347	0.819
chr2:84456319-84461320	Open Sea	0.414	0.44	1.06
chr12:101191223-101196224	Open Sea	0.379	0.48	1.27
chr3:65696436-65701437	Open Sea	0.399	0.533	1.34
chr5:142520406-142525407	Open Sea	0.413	0.487	1.18
chr1:90297066-90302067	Open Sea	0.405	0.46	1.14
chr5:37765747-37770748	Open Sea	0.429	0.433	1.01
chr12:32700409-32705410	Open Sea	0.411	0.553	1.35
chr6:163815571-163820572	Open Sea	0.422	0.56	1.33
chr11:63348333-63353334	Open Sea	0.428	0.4	0.935
chr5:11162219-11167220	Open Sea	0.416	0.467	1.12
chr4:83667561-83672562	Open Sea	0.439	0.473	1.08
chr14:76184872-76189873	Open Sea	0.411	0.467	1.14
chr5:160276758-160281759	Open Sea	0.397	0.42	1.06
chr14:64661185-64666186	Open Sea	0.438	0.673	1.54
chr14:79299073-79304074	Open Sea	0.397	0.493	1.24
chr3:170456485-170461486	Open Sea	0.418	0.507	1.21
chr2:102407759-102412760	Open Sea	0.389	0.467	1.2
chr3:115410440-115415441	Open Sea	0.397	0.6	1.51
chr14:73607398-73612399	Open Sea	0.432	0.52	1.2
chr2:24677130-24682131	Open Sea	0.432	0.547	1.27
chr11:125349070-125354071	Open Sea	0.419	0.567	1.35
chr5:156993458-156998459	Open Sea	0.442	0.52	1.18
chr8:141712187-141717188	Open Sea	0.421	0.533	1.27
chr5:82215638-82220639	Open Sea	0.415	0.58	1.4
chr1:217249054-217254055	Open Sea	0.38	0.48	1.26
chr3:4769783-4774784	Open Sea	0.412	0.493	1.2
chr1:164768082-164773083	Open Sea	0.431	0.507	1.18
chr21:37445185-37450186	Open Sea	0.42	0.467	1.11
chr7:8197946-8202947	Open Sea	0.399	0.44	1.1
chr9:96844248-96849249	Open Sea	0.39	0.573	1.47
chr3:152365673-152370674	Open Sea	0.36	0.493	1.37
chr3:17229763-17234764	Open Sea	0.373	0.5	1.34
chr9:99317026-99322027	Open Sea	0.389	0.633	1.63
chr1:66816561-66821562	Open Sea	0.365	0.52	1.43
chr7:78397950-78402951	Open Sea	0.395	0.573	1.45
chr5:137213638-137218639	Open Sea	0.418	0.427	1.02
chr1:10353233-10358234	Open Sea	0.378	0.52	1.38
chr2:225976738-225981739	Open Sea	0.409	0.413	1.01
chr12:63313999-63319000	Open Sea	0.415	0.453	1.09
chr3:39499864-39504865	Open Sea	0.429	0.513	1.2
chr5:65085845-65090846	Open Sea	0.407	0.6	1.47
chr8:81939021-81944022	Open Sea	0.42	0.44	1.05
chr3:185728819-185733820	Open Sea	0.427	0.64	1.5
chr7:137600196-137605197	Open Sea	0.421	0.62	1.47
chr12:16536691-16541692	Open Sea	0.428	0.48	1.12
chr14:87595969-87600970	Open Sea	0.417	0.52	1.25
chr3:7709021-7714022	Open Sea	0.393	0.473	1.2
chr5:123597438-123602439	Open Sea	0.412	0.413	1
chr3:159607906-159612907	Open Sea	0.41	0.52	1.27
chr1:144938868-144943869	Open Sea	0.409	0.413	1.01
chr4:10296116-10301117	Open Sea	0.428	0.44	1.03
chr9:115899481-115904482	Open Sea	0.422	0.453	1.07
chr9:109639440-109644441	Open Sea	0.416	0.46	1.11
chr18:36329600-36334601	Open Sea	0.386	0.56	1.45
chr2:145135262-145140263	Open Sea	0.404	0.547	1.35
chr10:22841326-22846327	Open Sea	0.405	0.62	1.53
chr5:87483676-87488677	Open Sea	0.395	0.487	1.23
chr4:16642224-16647225	Open Sea	0.421	0.413	0.983
chr3:159598670-159603671	Open Sea	0.419	0.587	1.4
chr8:53333808-53338809	Open Sea	0.383	0.487	1.27
chr18:55766068-55771069	Open Sea	0.399	0.487	1.22
chr18:53066714-53071715	Open Sea	0.366	0.527	1.44
chr9:8362078-8367079	Open Sea	0.38	0.58	1.53
chr12:106273742-106278743	Open Sea	0.397	0.493	1.24
chr16:52101419-52106420	Open Sea	0.377	0.42	1.12
chr12:64360151-64365152	Open Sea	0.395	0.56	1.42
chr7:79754732-79759733	Open Sea	0.406	0.507	1.25
chr9:6564696-6569697	Open Sea	0.46	0.48	1.04
chr17:3403481-3408482	Open Sea	0.453	0.52	1.15
chr8:18539842-18544843	Open Sea	0.439	0.44	1
chr9:108753127-108758128	Open Sea	0.459	0.62	1.35
chr6:47707090-47712091	Open Sea	0.418	0.467	1.12
chr6:97455353-97460354	Open Sea	0.452	0.52	1.15
chr14:90375668-90380669	Open Sea	0.439	0.533	1.21
chr16:65090994-65095995	Open Sea	0.416	0.56	1.35
chr14:51487189-51492190	Open Sea	0.441	0.527	1.19
chr10:80337487-80342488	Open Sea	0.454	0.54	1.19
chr1:26224420-26229421	Open Sea	0.46	0.527	1.14
chr3:37072173-37077174	Open Sea	0.415	0.5	1.21
chr20:11227227-11232228	Open Sea	0.407	0.453	1.11
chr2:105316711-105321712	Open Sea	0.439	0.42	0.957
chr11:19759077-19764078	Open Sea	0.427	0.54	1.26
chr18:52967110-52972111	Open Sea	0.419	0.507	1.21
chr6:109119344-109124345	Open Sea	0.456	0.48	1.05
chr7:5729538-5734539	Open Sea	0.458	0.46	1.01
chr20:45980240-45985241	Open Sea	0.454	0.46	1.01
chr7:5740555-5745556	Open Sea	0.477	0.52	1.09
chr12:51411885-51416886	Open Sea	0.394	0.44	1.12
chr21:18797370-18802371	Open Sea	0.438	0.453	1.03
chr16:19767105-19772106	Open Sea	0.458	0.413	0.903
chr14:32991889-32996890	Open Sea	0.419	0.36	0.859
chr2:75127038-75132039	Open Sea	0.388	0.46	1.19
chr3:58371832-58376833	Open Sea	0.439	0.407	0.926
chr15:71165076-71170077	Open Sea	0.41	0.44	1.07
chr2:105045922-105050923	Open Sea	0.408	0.407	0.997
chr21:18830922-18835923	Open Sea	0.446	0.48	1.08
chr2:223856662-223861663	Open Sea	0.396	0.52	1.31
chr5:87683679-87688680	Open Sea	0.384	0.48	1.25
chr18:37990839-37995840	Open Sea	0.407	0.5	1.23
chr20:39874893-39879894	Open Sea	0.433	0.433	1
chr4:55197511-55202512	Open Sea	0.446	0.52	1.17
chr6:91192298-91197299	Open Sea	0.46	0.507	1.1
chr9:66516872-66521873	Open Sea	0.447	0.54	1.21
chr15:89738480-89743481	Open Sea	0.483	0.6	1.24
chr5:138307561-138312562	Open Sea	0.468	0.54	1.15
chr9:97705357-97710358	Open Sea	0.447	0.633	1.42
chr11:130236605-130241606	Open Sea	0.433	0.533	1.23
chr3:27705858-27710859	Open Sea	0.424	0.54	1.27
chr13:111860551-111865552	Open Sea	0.445	0.553	1.24
chr3:170186074-170191075	Open Sea	0.473	0.473	1
chr9:129200810-129205811	Open Sea	0.434	0.553	1.28
chr10:35713289-35718290	Open Sea	0.43	0.433	1.01
chr7:66266669-66271670	Open Sea	0.442	0.48	1.09
chr11:73564744-73569745	Open Sea	0.438	0.407	0.928
chr9:6574603-6579604	Open Sea	0.418	0.533	1.27
chr5:8841609-8846610	Open Sea	0.415	0.573	1.38
chr1:182248839-182253840	Open Sea	0.448	0.387	0.863
chr2:54891547-54896548	Open Sea	0.448	0.527	1.18
chr1:109488444-109493445	Open Sea	0.394	0.533	1.35
chr3:170152615-170157616	Open Sea	0.393	0.547	1.39
chr12:49590287-49595288	Open Sea	0.427	0.533	1.25
chr10:87845222-87850223	Open Sea	0.484	0.58	1.2
chr6:148614327-148619328	Open Sea	0.459	0.547	1.19
chr7:29847075-29852076	Open Sea	0.441	0.553	1.26
chr10:15333534-15338535	Open Sea	0.418	0.567	1.36
chr5:54731643-54736644	Open Sea	0.413	0.54	1.31
chr8:3267947-3272948	Open Sea	0.404	0.513	1.27
chr4:99465640-99470641	Open Sea	0.41	0.553	1.35
chr9:97532845-97537846	Open Sea	0.401	0.493	1.23
chr4:15129758-15134759	Open Sea	0.385	0.553	1.44
chr9:120224903-120229904	Open Sea	0.418	0.547	1.31
chr8:141149698-141154699	Open Sea	0.404	0.447	1.11
chr1:210757759-210762760	Open Sea	0.409	0.493	1.2
chr6:90397223-90402224	Open Sea	0.427	0.493	1.16
chr22:33596890-33601891	Open Sea	0.429	0.547	1.27
chr5:72568313-72573314	Open Sea	0.419	0.547	1.31
chr6:17029780-17034781	Open Sea	0.435	0.567	1.3
chr9:108088884-108093885	Open Sea	0.402	0.5	1.24
chr5:34501467-34506468	Open Sea	0.447	0.44	0.985
chr5:7879685-7884686	Open Sea	0.453	0.52	1.15
chr6:5203764-5208765	Open Sea	0.447	0.48	1.07
chr10:95515195-95520196	Open Sea	0.411	0.533	1.3
chr5:35801884-35806885	Open Sea	0.422	0.453	1.08
chr10:87077278-87082279	Open Sea	0.434	0.6	1.38
chr11:121970041-121975042	Open Sea	0.413	0.533	1.29
chr1:156763317-156768318	Open Sea	0.441	0.48	1.09
chr3:185760955-185765956	Open Sea	0.429	0.433	1.01
chr6:158894141-158899142	Open Sea	0.427	0.553	1.3
chr11:94812396-94817397	Open Sea	0.416	0.513	1.24
chr13:51249475-51254476	Open Sea	0.431	0.507	1.18
chr10:25077203-25082204	Open Sea	0.413	0.56	1.36
chr11:128420571-128425572	Open Sea	0.411	0.527	1.28
chr3:117114745-117119746	Open Sea	0.408	0.487	1.19
chr5:66561865-66566866	Open Sea	0.43	0.573	1.33
chr6:56713594-56718595	Open Sea	0.424	0.56	1.32
chr11:126658175-126663176	Open Sea	0.447	0.607	1.36
chr3:10742364-10747365	Open Sea	0.43	0.6	1.39
chr1:112105321-112110322	Open Sea	0.417	0.48	1.15
chr5:127275069-127280070	Open Sea	0.419	0.513	1.22
chr10:64321874-64326875	Open Sea	0.407	0.513	1.26
chr13:33519731-33524732	Open Sea	0.415	0.48	1.16
chr18:59541851-59546852	Open Sea	0.421	0.473	1.12
chr4:83666970-83671971	Open Sea	0.412	0.54	1.31
chr3:187978347-187983348	Open Sea	0.416	0.487	1.17
chr13:47653215-47658216	Open Sea	0.402	0.433	1.08
chr7:127581298-127586299	Open Sea	0.416	0.447	1.07
chr20:36434688-36439689	Open Sea	0.42	0.44	1.05
chr8:81057225-81062226	Open Sea	0.399	0.407	1.02
chr10:62109497-62114498	Open Sea	0.402	0.493	1.23
chr8:93073842-93078843	Open Sea	0.417	0.4	0.959
chr11:124810039-124815040	Open Sea	0.411	0.5	1.22
chr6:53725579-53730580	Open Sea	0.422	0.48	1.14
chr3:64207180-64212181	Open Sea	0.448	0.467	1.04
chr1:177277025-177282026	Open Sea	0.414	0.473	1.14
chr9:17791615-17796616	Open Sea	0.423	0.413	0.978
chr2:71481331-71486332	Open Sea	0.426	0.473	1.11
chr3:117115937-117120938	Open Sea	0.402	0.487	1.21
chr4:184878871-184883872	Open Sea	0.401	0.48	1.2
chr18:68134976-68139977	Open Sea	0.413	0.573	1.39
chr2:171360105-171365106	Open Sea	0.44	0.547	1.24
chr6:135025021-135030022	Open Sea	0.415	0.54	1.3
chr12:52143102-52148103	Open Sea	0.39	0.46	1.18
chr21:27212826-27217827	Open Sea	0.411	0.427	1.04
chr10:92780926-92785927	Open Sea	0.423	0.5	1.18
chr10:122973982-122978983	Open Sea	0.416	0.513	1.24
chr18:53663019-53668020	Open Sea	0.408	0.6	1.47
chr3:64205791-64210792	Open Sea	0.448	0.533	1.19
chr9:120166778-120171779	Open Sea	0.434	0.473	1.09
chr3:159148410-159153411	Open Sea	0.416	0.413	0.994
chr8:133153161-133158162	Open Sea	0.42	0.5	1.19
chr2:7150270-7155271	Open Sea	0.422	0.553	1.31
chr3:25494654-25499655	Open Sea	0.414	0.587	1.42
chr12:19697312-19702313	Open Sea	0.386	0.513	1.33
chr2:145265640-145270641	Open Sea	0.42	0.487	1.16
chr14:75630512-75635513	Open Sea	0.419	0.547	1.3
chr11:133988432-133993433	Open Sea	0.424	0.587	1.38
chr18:43713081-43718082	Open Sea	0.406	0.46	1.13
chr13:36412690-36417691	Open Sea	0.413	0.413	1
chr6:112062766-112067767	Open Sea	0.419	0.493	1.18
chr8:110613219-110618220	Open Sea	0.408	0.507	1.24
chr10:60765956-60770957	Open Sea	0.371	0.447	1.21
chr11:78040521-78045522	Open Sea	0.407	0.507	1.24
chr10:25158662-25163663	Open Sea	0.42	0.513	1.22
chr2:166717883-166722884	Open Sea	0.396	0.5	1.26
chr5:66585165-66590166	Open Sea	0.417	0.473	1.13
chr2:20579027-20584028	Open Sea	0.431	0.447	1.04
chr2:24452221-24457222	Open Sea	0.422	0.407	0.963
chr9:108089608-108094609	Open Sea	0.413	0.413	1
chr1:89448428-89453429	Open Sea	0.417	0.5	1.2
chr7:148079730-148084731	Open Sea	0.439	0.46	1.05
chr6:165337898-165342899	Open Sea	0.45	0.327	0.726
chr15:87456766-87461767	Open Sea	0.456	0.447	0.98
chr18:24227859-24232860	Open Sea	0.437	0.38	0.87
chr11:112638410-112643411	Open Sea	0.406	0.513	1.27
chr11:33617390-33622391	Open Sea	0.429	0.407	0.948
chr7:51376562-51381563	Open Sea	0.43	0.5	1.16
chr14:32833157-32838158	Open Sea	0.404	0.507	1.25
chr1:160187049-160192050	Open Sea	0.441	0.547	1.24
chr21:33796747-33801748	Open Sea	0.449	0.393	0.876
chr3:54962952-54967953	Open Sea	0.433	0.5	1.16
chr5:32025151-32030152	Open Sea	0.458	0.593	1.29
chr9:123331862-123336863	Open Sea	0.448	0.487	1.09
chr9:71817508-71822509	Open Sea	0.444	0.533	1.2
chr2:54609489-54614490	Open Sea	0.417	0.533	1.28
chr9:103986234-103991235	Open Sea	0.402	0.447	1.11
chrX:103035295-103040296	Open Sea	0.434	0.573	1.32
chr13:44783117-44788118	Open Sea	0.437	0.467	1.07
chr11:85656101-85661102	Open Sea	0.419	0.42	1
chr8:9774156-9779157	Open Sea	0.417	0.553	1.33
chr12:95006638-95011639	Open Sea	0.447	0.573	1.28
chr4:186486629-186491630	Open Sea	0.435	0.533	1.23
chr15:30161249-30166250	Open Sea	0.432	0.653	1.51
chr1:144006281-144011282	Open Sea	0.437	0.473	1.08
chr18:21778531-21783532	Open Sea	0.439	0.447	1.02
chr12:14106983-14111984	Open Sea	0.431	0.513	1.19
chr15:64412933-64417934	Open Sea	0.425	0.54	1.27
chr14:33275606-33280607	Open Sea	0.41	0.433	1.06
chr5:65112138-65117139	Open Sea	0.383	0.6	1.57
chr2:48649668-48654669	Open Sea	0.427	0.513	1.2
chr6:39652405-39657406	Open Sea	0.416	0.467	1.12
chr12:51833833-51838834	Open Sea	0.409	0.44	1.08
chr3:20111611-20116612	Open Sea	0.402	0.487	1.21
chr1:174018789-174023790	Open Sea	0.398	0.453	1.14
chr7:131113773-131118774	Open Sea	0.372	0.487	1.31
chr18:77015178-77020179	Open Sea	0.383	0.553	1.45
chr3:171491921-171496922	Open Sea	0.432	0.433	1
chr12:12028825-12033826	Open Sea	0.381	0.547	1.43
chr6:17863641-17868642	Open Sea	0.397	0.56	1.41
chr14:34313381-34318382	Open Sea	0.443	0.44	0.993
chr1:183837906-183842907	Open Sea	0.399	0.407	1.02
chr5:54896205-54901206	Open Sea	0.422	0.427	1.01
chr1:233910935-233915936	Open Sea	0.405	0.413	1.02
chr9:544624-549625	Open Sea	0.448	0.453	1.01
chr8:17503853-17508854	Open Sea	0.425	0.587	1.38
chr12:114622088-114627089	Open Sea	0.428	0.567	1.32
chr14:78634192-78639193	Open Sea	0.448	0.6	1.34
chr1:145026345-145031346	Open Sea	0.414	0.48	1.16
chr7:111750708-111755709	Open Sea	0.437	0.433	0.991
chr1:159109779-159114780	Open Sea	0.421	0.533	1.27
chr2:207969878-207974879	Open Sea	0.401	0.593	1.48
chr13:111047562-111052563	Open Sea	0.417	0.56	1.34
chr7:111493590-111498591	Open Sea	0.428	0.547	1.28
chr20:11974542-11979543	Open Sea	0.412	0.48	1.16
chr4:165917340-165922341	Open Sea	0.412	0.487	1.18
chr5:114750478-114755479	Open Sea	0.431	0.433	1.01
chr7:108054361-108059362	Open Sea	0.438	0.5	1.14
chr4:78538215-78543216	Open Sea	0.413	0.453	1.1
chr8:68929862-68934863	Open Sea	0.391	0.413	1.06
chr10:62111211-62116212	Open Sea	0.395	0.507	1.28
chr7:127618641-127623642	Open Sea	0.413	0.46	1.11
chr6:158836482-158841483	Open Sea	0.374	0.513	1.37
chr6:3663460-3668461	Open Sea	0.395	0.507	1.28
chr11:17866045-17871046	Open Sea	0.404	0.533	1.32
chr2:153345013-153350014	Open Sea	0.386	0.56	1.45
chr16:56139528-56144529	Open Sea	0.436	0.507	1.16
chr5:83857746-83862747	Open Sea	0.393	0.407	1.04
chr13:84454358-84459359	Open Sea	0.419	0.413	0.987
chr10:64140271-64145272	Open Sea	0.393	0.407	1.03
chr4:38306130-38311131	Open Sea	0.43	0.353	0.822
chr12:12516023-12521024	Open Sea	0.429	0.453	1.06
chr11:94813299-94818300	Open Sea	0.401	0.487	1.21
chr13:97892789-97897790	Open Sea	0.396	0.6	1.51
chr8:141712690-141717691	Open Sea	0.413	0.38	0.92
chr14:29228799-29233800	Open Sea	0.423	0.62	1.46
chr4:83434648-83439649	Open Sea	0.467	0.467	1
chr7:28745955-28750956	Open Sea	0.405	0.48	1.19
chr6:134667315-134672316	Open Sea	0.387	0.467	1.21
chr1:183844188-183849189	Open Sea	0.385	0.547	1.42
chr6:123098182-123103183	Open Sea	0.368	0.567	1.54
chr10:60757582-60762583	Open Sea	0.396	0.547	1.38
chr6:148832637-148837638	Open Sea	0.391	0.587	1.5
chr6:161689947-161694948	Open Sea	0.43	0.507	1.18
chr6:39680214-39685215	Open Sea	0.397	0.4	1.01
chr6:52238608-52243609	Open Sea	0.413	0.527	1.27
chr15:26904480-26909481	Open Sea	0.408	0.507	1.24
chr10:11044798-11049799	Open Sea	0.364	0.48	1.32
chr2:172171947-172176948	Open Sea	0.381	0.453	1.19
chr5:111888042-111893043	Open Sea	0.407	0.573	1.41
chr10:35757154-35762155	Open Sea	0.398	0.553	1.39
chr11:14267769-14272770	Open Sea	0.398	0.527	1.32
chr4:113968261-113973262	Open Sea	0.364	0.613	1.68
chr7:123722950-123727951	Open Sea	0.379	0.46	1.21
chr7:79813569-79818570	Open Sea	0.401	0.487	1.21
chr16:72460624-72465625	Open Sea	0.373	0.48	1.29
chr3:159560456-159565457	Open Sea	0.405	0.52	1.28
chr1:218542966-218547967	Open Sea	0.401	0.42	1.05
chr6:145002161-145007162	Open Sea	0.38	0.44	1.16
chr14:102657122-102662123	Open Sea	0.417	0.667	1.6
chr5:124818032-124823033	Open Sea	0.343	0.533	1.55
chr6:136787513-136792514	Open Sea	0.375	0.507	1.35
chr4:41146376-41151377	Open Sea	0.381	0.58	1.52
chr10:129415503-129420504	Open Sea	0.402	0.493	1.23
chr4:146801464-146806465	Open Sea	0.4	0.527	1.32
chr5:60925008-60930009	Open Sea	0.398	0.473	1.19
chr9:87579861-87584862	Open Sea	0.386	0.407	1.05
chr12:16760610-16765611	Open Sea	0.361	0.507	1.4
chr8:81701353-81706354	Open Sea	0.377	0.467	1.24
chr4:113814611-113819612	Open Sea	0.375	0.46	1.23
chr9:34896572-34901573	Open Sea	0.397	0.507	1.28
